"IDX","IDX_DATETIME","ITEMCODE","LOCATION","VALUE_1"
"343","2021-01-06 13:00:00","PM10","1159056000","24"
"344","2021-01-06 13:00:00","PM10","1159060500","24"
"345","2021-01-06 13:00:00","PM10","1159062000","24"
"346","2021-01-06 13:00:00","PM10","1159063000","24"
"347","2021-01-06 13:00:00","PM10","1159064000","24"
"348","2021-01-06 13:00:00","PM10","1159065000","24"
"349","2021-01-06 13:00:00","PM10","1159065100","24"
"350","2021-01-06 13:00:00","PM10","1159066000","24"
"351","2021-01-06 13:00:00","PM10","1159067000","24"
"352","2021-01-06 13:00:00","PM10","1159068000","24"
"353","2021-01-06 13:00:00","PM10","1162000000","17"
"354","2021-01-06 13:00:00","PM10","1162052500","17"
"355","2021-01-06 13:00:00","PM10","1162054500","17"
"356","2021-01-06 13:00:00","PM10","1162056500","17"
"357","2021-01-06 13:00:00","PM10","1162057500","17"
"358","2021-01-06 13:00:00","PM10","1162058500","17"
"359","2021-01-06 13:00:00","PM10","1162059500","17"
"360","2021-01-06 13:00:00","PM10","1162060500","17"
"361","2021-01-06 13:00:00","PM10","1162061500","17"
"362","2021-01-06 13:00:00","PM10","1162062500","17"
"363","2021-01-06 13:00:00","PM10","1162063000","17"
"364","2021-01-06 13:00:00","PM10","1162064500","17"
"365","2021-01-06 13:00:00","PM10","1162065500","17"
"366","2021-01-06 13:00:00","PM10","1162066500","17"
"367","2021-01-06 13:00:00","PM10","1162068500","17"
"368","2021-01-06 13:00:00","PM10","1162069500","17"
"369","2021-01-06 13:00:00","PM10","1162071500","17"
"370","2021-01-06 13:00:00","PM10","1162072500","17"
"371","2021-01-06 13:00:00","PM10","1162073500","17"
"372","2021-01-06 13:00:00","PM10","1162074500","17"
"373","2021-01-06 13:00:00","PM10","1162076500","17"
"374","2021-01-06 13:00:00","PM10","1162077500","17"
"375","2021-01-06 13:00:00","PM10","1168000000","16"
"376","2021-01-06 13:00:00","PM10","1168051000","16"
"377","2021-01-06 13:00:00","PM10","1168052100","16"
"378","2021-01-06 13:00:00","PM10","1168053100","16"
"379","2021-01-06 13:00:00","PM10","1168054500","16"
"380","2021-01-06 13:00:00","PM10","1168056500","16"
"381","2021-01-06 13:00:00","PM10","1168058000","16"
"382","2021-01-06 13:00:00","PM10","1168059000","16"
"383","2021-01-06 13:00:00","PM10","1168060000","16"
"384","2021-01-06 13:00:00","PM10","1168061000","16"
"385","2021-01-06 13:00:00","PM10","1168063000","16"
"386","2021-01-06 13:00:00","PM10","1168064000","16"
"387","2021-01-06 13:00:00","PM10","1168065000","16"
"388","2021-01-06 13:00:00","PM10","1168065500","16"
"389","2021-01-06 13:00:00","PM10","1168065600","16"
"390","2021-01-06 13:00:00","PM10","1168066000","16"
"391","2021-01-06 13:00:00","PM10","1168067000","16"
"392","2021-01-06 13:00:00","PM10","1168069000","16"
"393","2021-01-06 13:00:00","PM10","1168070000","16"
"394","2021-01-06 13:00:00","PM10","1168072000","16"
"395","2021-01-06 13:00:00","PM10","1168073000","16"
"396","2021-01-06 13:00:00","PM10","1168074000","16"
"397","2021-01-06 13:00:00","PM10","1168075000","16"
"398","2021-01-06 13:00:00","PM10","1165000000","32"
"399","2021-01-06 13:00:00","PM10","1165051000","32"
"400","2021-01-06 13:00:00","PM10","1165052000","32"
"401","2021-01-06 13:00:00","PM10","1165053000","32"
"402","2021-01-06 13:00:00","PM10","1165053100","32"
"403","2021-01-06 13:00:00","PM10","1165054000","32"
"404","2021-01-06 13:00:00","PM10","1165055000","32"
"405","2021-01-06 13:00:00","PM10","1165056000","32"
"406","2021-01-06 13:00:00","PM10","1165057000","32"
"407","2021-01-06 13:00:00","PM10","1165058000","32"
"408","2021-01-06 13:00:00","PM10","1165058100","32"
"409","2021-01-06 13:00:00","PM10","1165059000","32"
"410","2021-01-06 13:00:00","PM10","1165060000","32"
"411","2021-01-06 13:00:00","PM10","1165061000","32"
"412","2021-01-06 13:00:00","PM10","1165062000","32"
"413","2021-01-06 13:00:00","PM10","1165062100","32"
"414","2021-01-06 13:00:00","PM10","1165065100","32"
"415","2021-01-06 13:00:00","PM10","1165065200","32"
"416","2021-01-06 13:00:00","PM10","1165066000","32"
"417","2021-01-06 13:00:00","PM10","1171000000","26"
"418","2021-01-06 13:00:00","PM10","1171051000","26"
"419","2021-01-06 13:00:00","PM10","1171052000","26"
"420","2021-01-06 13:00:00","PM10","1171053100","26"
"421","2021-01-06 13:00:00","PM10","1171053200","26"
"422","2021-01-06 13:00:00","PM10","1171054000","26"
"423","2021-01-06 13:00:00","PM10","1171055000","26"
"424","2021-01-06 13:00:00","PM10","1171056100","26"
"425","2021-01-06 13:00:00","PM10","1171056200","26"
"426","2021-01-06 13:00:00","PM10","1171056600","26"
"427","2021-01-06 13:00:00","PM10","1171057000","26"
"428","2021-01-06 13:00:00","PM10","1171058000","26"
"429","2021-01-06 13:00:00","PM10","1171059000","26"
"430","2021-01-06 13:00:00","PM10","1171060000","26"
"431","2021-01-06 13:00:00","PM10","1171061000","26"
"432","2021-01-06 13:00:00","PM10","1171062000","26"
"433","2021-01-06 13:00:00","PM10","1171063100","26"
"434","2021-01-06 13:00:00","PM10","1171063200","26"
"435","2021-01-06 13:00:00","PM10","1171064100","26"
"436","2021-01-06 13:00:00","PM10","1171064200","26"
"437","2021-01-06 13:00:00","PM10","1171064600","26"
"438","2021-01-06 13:00:00","PM10","1171064700","26"
"439","2021-01-06 13:00:00","PM10","1171065000","26"
"440","2021-01-06 13:00:00","PM10","1171067000","26"
"441","2021-01-06 13:00:00","PM10","1171068000","26"
"442","2021-01-06 13:00:00","PM10","1171069000","26"
"443","2021-01-06 13:00:00","PM10","1171071000","26"
"444","2021-01-06 13:00:00","PM10","1171072000","26"
"445","2021-01-06 13:00:00","PM10","1174000000","27"
"446","2021-01-06 13:00:00","PM10","1174051500","27"
"447","2021-01-06 13:00:00","PM10","1174052000","27"
"448","2021-01-06 13:00:00","PM10","1174053000","27"
"449","2021-01-06 13:00:00","PM10","1174054000","27"
"450","2021-01-06 13:00:00","PM10","1174055000","27"
"451","2021-01-06 13:00:00","PM10","1174056000","27"
"452","2021-01-06 13:00:00","PM10","1174057000","27"
"453","2021-01-06 13:00:00","PM10","1174058000","27"
"454","2021-01-06 13:00:00","PM10","1174059000","27"
"455","2021-01-06 13:00:00","PM10","1174060000","27"
"456","2021-01-06 13:00:00","PM10","1174061000","27"
"457","2021-01-06 13:00:00","PM10","1174062000","27"
"458","2021-01-06 13:00:00","PM10","1174064000","27"
"459","2021-01-06 13:00:00","PM10","1174065000","27"
"460","2021-01-06 13:00:00","PM10","1174066000","27"
"461","2021-01-06 13:00:00","PM10","1174068500","27"
"462","2021-01-06 13:00:00","PM10","1174069000","27"
"463","2021-01-06 13:00:00","PM10","1174070000","27"
"464","2021-01-06 13:00:00","PM10","1154500000","26"
"465","2021-01-06 13:00:00","PM10","1154551000","26"
"466","2021-01-06 13:00:00","PM10","1154561000","26"
"467","2021-01-06 13:00:00","PM10","1154562000","26"
"468","2021-01-06 13:00:00","PM10","1154563000","26"
"469","2021-01-06 13:00:00","PM10","1154564000","26"
"470","2021-01-06 13:00:00","PM10","1154567000","26"
"471","2021-01-06 13:00:00","PM10","1154568000","26"
"472","2021-01-06 13:00:00","PM10","1154569000","26"
"473","2021-01-06 13:00:00","PM10","1154570000","26"
"474","2021-01-06 13:00:00","PM10","1154571000","26"
"475","2021-01-06 13:00:00","PM10","1130500000","31"
"476","2021-01-06 13:00:00","PM10","1130553400","31"
"477","2021-01-06 13:00:00","PM10","1130553500","31"
"478","2021-01-06 13:00:00","PM10","1130554500","31"
"479","2021-01-06 13:00:00","PM10","1130555500","31"
"480","2021-01-06 13:00:00","PM10","1130557500","31"
"481","2021-01-06 13:00:00","PM10","1130559500","31"
"482","2021-01-06 13:00:00","PM10","1130560300","31"
"483","2021-01-06 13:00:00","PM10","1130560800","31"
"484","2021-01-06 13:00:00","PM10","1130561500","31"
"485","2021-01-06 13:00:00","PM10","1130562500","31"
"486","2021-01-06 13:00:00","PM10","1130563500","31"
"487","2021-01-06 13:00:00","PM10","1130564500","31"
"488","2021-01-06 13:00:00","PM10","1130566000","31"
"489","2021-01-06 13:00:00","PM10","1147000000","26"
"490","2021-01-06 13:00:00","PM10","1147051000","26"
"491","2021-01-06 13:00:00","PM10","1147052000","26"
"492","2021-01-06 13:00:00","PM10","1147053000","26"
"493","2021-01-06 13:00:00","PM10","1147054000","26"
"494","2021-01-06 13:00:00","PM10","1147055000","26"
