"IDX","IDX_DATETIME","DATA_GUBUN","LOCATION","GATHER_INFO","VALUE_1","VALUE_2","VALUE_3"
"261","2021-01-06 13:00:00","T,H","1138055200",,"23","-5","0"
"262","2021-01-06 13:00:00","T,H","1138056000",,"23","-5","0"
"263","2021-01-06 13:00:00","T,H","1138057000",,"23","-5","0"
"264","2021-01-06 13:00:00","T,H","1138069000",,"23","-5","0"
"265","2021-01-06 13:00:00","T,H","4128156000",,"23","-5","0"
"266","2021-01-06 13:00:00","T,H","1138065000",,"30","-5","0"
"267","2021-01-06 13:00:00","T,H","1144074000",,"30","-5","0"
"268","2021-01-06 13:00:00","T,H","1150060400",,"30","-5","0"
"269","2021-01-06 13:00:00","T,H","1150060500",,"30","-5","0"
"270","2021-01-06 13:00:00","T,H","4128166000",,"30","-5","0"
"271","2021-01-06 13:00:00","T,H","4128167000",,"30","-5","0"
"272","2021-01-06 13:00:00","T,H","1147000000",,"30","-3","0"
"273","2021-01-06 13:00:00","T,H","1147051000",,"30","-3","0"
"274","2021-01-06 13:00:00","T,H","1147052000",,"30","-3","0"
"275","2021-01-06 13:00:00","T,H","1147053000",,"30","-3","0"
"276","2021-01-06 13:00:00","T,H","1147054000",,"30","-3","0"
"277","2021-01-06 13:00:00","T,H","1147055000",,"30","-3","0"
"278","2021-01-06 13:00:00","T,H","1147057000",,"30","-3","0"
"279","2021-01-06 13:00:00","T,H","1147061000",,"30","-3","0"
"280","2021-01-06 13:00:00","T,H","1147062000",,"30","-3","0"
"281","2021-01-06 13:00:00","T,H","1147063000",,"30","-3","0"
"282","2021-01-06 13:00:00","T,H","1147064000",,"30","-3","0"
"283","2021-01-06 13:00:00","T,H","1147065000",,"30","-3","0"
"284","2021-01-06 13:00:00","T,H","1147067000",,"30","-3","0"
"285","2021-01-06 13:00:00","T,H","1150000000",,"30","-3","0"
"286","2021-01-06 13:00:00","T,H","1150051000",,"30","-3","0"
"287","2021-01-06 13:00:00","T,H","1150052000",,"30","-3","0"
"288","2021-01-06 13:00:00","T,H","1150053000",,"30","-3","0"
"289","2021-01-06 13:00:00","T,H","1150053500",,"30","-3","0"
"290","2021-01-06 13:00:00","T,H","1150054000",,"30","-3","0"
"291","2021-01-06 13:00:00","T,H","1150055000",,"30","-3","0"
"292","2021-01-06 13:00:00","T,H","1150057000",,"30","-3","0"
"293","2021-01-06 13:00:00","T,H","1150059000",,"30","-3","0"
"294","2021-01-06 13:00:00","T,H","1150059100",,"30","-3","0"
"295","2021-01-06 13:00:00","T,H","1150059300",,"30","-3","0"
"296","2021-01-06 13:00:00","T,H","1150061500",,"30","-3","0"
